pixels,pixel_max_d2fdlnλ2,chunk_id,fit_min_λ,fit_max_λ,fit_λc,fit_depth,fit_σ²,fit_a,fit_b,fit_covar,fit_χ²_per_dof,fit_converged,λ_near_center,f_near_center,dfdlnλ_near_center,df2dlnλ2_near_center,λ_min_flux,dfdlnλ_min_flux
70:84,76,1,5160.401288472136,5160.537610558805,5160.443928748558,0.00026661100940274734,0.007331017435625922,0.8517004190673111,0.037942193018763996,[26.969509200538774 1138.9482897493133 -43372.78787871847 -43500.31957555524 35.681614654713954; 1138.948289749271 48606.70944566605 -1.9032887983995215e6 -1.9236862173297603e6 1523.6697696366555; -43372.787878712596 -1.9032887983993404e6 7.985435492085186e7 8.216041147419305e7 -59758.21428394873; -43500.31957554849 -1.9236862173295422e6 8.21604114741916e7 8.516493116599196e7 -60279.65101155607; 35.681614654712384 1523.6697696366446 -59758.21428395395 -60279.65101156245 47.88665273367992],4.5428689391153316e-10,true,5160.4597122235655,0.8520281345073227,1418.7703619239483,323.7918991066412,5156.077977023153,1418.4953141336966
378:426,401,1,5163.400374378855,5163.867764390292,5163.627729351313,0.015512748506892117,0.04407272887158181,0.8808259412556849,0.005342471998828001,[0.07436687129406062 -0.03805777557825851 5.283737988384242 7.065074083986421 -0.010620377883286715; -0.03805777557825876 0.6621716561327649 -2.939072436800281 -3.6955064907380994 0.1630371736387809; 5.283737988384241 -2.9390724368002594 375.7372208913303 501.2560954737246 -0.8128716134053481; 7.065074083986427 -3.695506490738083 501.25609547372517 676.1468284194491 -1.0218487570013517; -0.010620377883286777 0.1630371736387809 -0.8128716134053534 -1.0218487570013555 0.04135622640551702],6.7489130419911e-5,true,5163.624332092669,0.8672562136304582,160.30295446567544,4561.3918715245045,5163.589188662992,160.27190970144264
614:664,636,1,5165.698375268419,5166.185239863666,5165.919764292753,0.002929732151230231,0.04518418853790777,0.8772581062958879,-0.016969336701291807,[0.08545706793933618 -0.9482698909559175 27.253431719320922 35.61308531525047 -0.045832816697930934; -0.9482698909558831 21.6901785258856 -240.38000680522387 -296.9721314518089 0.9875181975654244; 27.2534317193211 -240.38000680523643 9042.875110206787 11882.927461344783 -11.966993316495095; 35.6130853152508 -296.9721314518283 11882.9274613448 15837.214693406957 -14.780893789933522; -0.04583281669792943 0.987518197565425 -11.966993316494547 -14.780893789932671 0.0462464193588861],1.2985009962145741e-5,true,5165.912595690327,0.8748132040542861,-673.2268771097524,843.021488792876,5166.711183728781,-673.0965661852821
697:739,721,1,5166.506570496528,5166.915536756535,5166.743591729959,0.006237397831213739,0.036175222980976036,0.8737660061770788,0.009086037221074615,[0.14461971243321428 0.9403118057523863 24.755243294601847 30.699942913138376 0.12967170068708947; 0.9403118057523459 9.6363698238593 156.6350797961462 185.28791155424167 1.2770746437923277; 24.755243294601883 156.6350797961532 4244.538649196285 5266.693601979166 21.677032991978745; 30.69994291313858 185.28791155425142 5266.693601979193 6620.19699228042 25.611619860195063; 0.12967170068708428 1.2770746437923304 21.67703299197784 25.61161986019379 0.1719497879558752],8.052802974064897e-5,true,5166.740265502247,0.8683535781726104,337.19944558965557,2194.3857550747693,5166.586600885709,337.1341811399824
792:827,811,1,5167.431613227497,5167.7724184441695,5167.614728726006,0.00904223535069735,0.027089675697103723,0.8684587040281451,-0.016567975031673992,[0.1696117221632902 0.29515365309472774 21.675879079619712 27.65075547479107 0.08023498115544639; 0.2951536530947016 2.8544106862739627 42.146385275683535 50.96553679949064 0.7090395216939143; 21.67587907961966 42.14638527568678 2779.490440534858 3535.6236432017154 11.336626578643717; 27.650755474791058 50.96553679949511 3535.6236432017226 4536.586142511485 13.703270574993116; 0.08023498115544 0.7090395216939136 11.336626578642921 13.703270574992018 0.17974864038919272],1.5149437421057887e-5,true,5167.616621773691,0.8607280037751406,-597.3364160138209,4051.0730125438267,5167.764073180803,-597.2208254161085
896:956,926,1,5168.44429158561,5169.028529099905,5168.732935136861,0.0968366297044823,0.07742279732944829,0.8615289009111334,0.01282860866225586,[0.09963739644140526 -0.004261718533879799 1.0639791004213932 1.5051706223788937 -0.004639565717446318; -0.004261718533879805 0.029853593880939524 -0.04931565000158244 -0.06667376591347575 0.028813563655910236; 1.0639791004213934 -0.049315650001581446 11.367487303828435 16.055392094998073 -0.0532498728726374; 1.505170622378893 -0.0666737659134764 16.055392094998062 22.866695238836257 -0.07189571534256033; -0.004639565717446324 0.028813563655910236 -0.053249872872638375 -0.0718957153425597 0.028558087157572878],0.00023220728003280324,true,5168.736410342758,0.7783665577527008,603.8939690950043,16568.58155776997,5168.699962203429,603.7771327833034
1060:1114,1088,1,5170.041207458019,5170.567021220885,5170.311568343088,0.03809252302946304,0.059036655343253065,0.8900089520692605,0.02050647609064066,[0.08845203970561444 0.02469794791731439 2.459992183000077 3.310583455419381 0.012782193839851772; 0.02469794791731603 0.14878829551812203 0.618390208854703 0.7786464445990151 0.06965862552428001; 2.4599921830000757 0.6183902088546613 68.48556120602758 92.02670207832574 0.32381651335530187; 3.3105834554193807 0.7786464445989623 92.02670207832575 124.86128939089491 0.40811091281703304; 0.01278219383985254 0.06965862552428 0.32381651335532124 0.40811091281705775 0.033513904254187404],0.00020965299476690538,true,5170.313851631357,0.8562958844655194,834.9013776183036,8707.250839371643,5170.217965869821,834.739896295606
1338:1377,1358,1,5172.74817460759,5173.127928991882,5172.947313022067,0.014289296292523037,0.03324146570400454,0.8927852058757073,-0.030327352130250257,[0.15144394011289444 0.10593366411154825 11.7719280805018 15.205176028384827 0.03754191607922799; 0.10593366411156267 1.065862332166607 10.341663330717635 12.68249653191787 0.33613063152058564; 11.771928080501832 10.341663330716528 919.8776213071593 1185.068154930104 3.5785743535073653; 15.205176028384855 12.682496531916414 1185.0681549301028 1539.5249243620287 4.385779623351009; 0.037541916079232504 0.3361306315205852 3.5785743535077112 4.385779623351465 0.10840230797059341],1.9869144624613374e-5,true,5172.942920445688,0.8803147426889507,-1243.9716289638445,5509.918428044647,5173.168689963914,-1243.7311576300708
1443:1499,1471,1,5173.770590257607,5174.315878604284,5174.0403486860905,0.06510562068325502,0.059644414122318266,0.8749821695866057,0.010569163072939524,[0.06736200627472656 -0.003556331133136581 1.0869837321075404 1.5337702460737779 -0.0032102057570295426; -0.003556331133136723 0.042493141579567725 -0.06418281934464794 -0.08582398924815907 0.033430013898921467; 1.08698373210754 -0.06418281934464254 17.553875676913737 24.711584835000878 -0.05719493593279641; 1.5337702460737794 -0.08582398924815493 24.71158483500091 35.17986104947428 -0.07637625480638036; -0.003210205757029653 0.03343001389892147 -0.05719493593280072 -0.07637625480638359 0.027167357515400857],0.0010889889408523905,true,5174.043234430946,0.8183307681692318,500.95785444916515,14400.563407868336,5174.008447052129,500.8610327729951
1569:1595,1581,1,5174.997489037629,5175.2506586271575,5175.108481304305,0.0016825743497399922,0.016726856332743786,0.9141251375369824,0.0438280263667473,[0.20776512366837285 0.08002739712425488 131.1535296253474 166.12056607828777 -0.010940774048128071; 0.08002739712436746 110.75193265576218 -2814.636979418283 -3289.075377908419 8.498719224218561; 131.1535296253441 -2814.6369794183647 156969.9421467147 191498.10072378072 -227.0277528329746; 166.1205660782843 -3289.0753779085207 191498.10072378116 235463.7392330847 -265.11009406388416; -0.010940774048118954 8.498719224218576 -227.02775283296842 -265.1100940638764 0.6614764531314142],4.745794417320053e-7,true,5175.114336540488,0.9128885495266834,1778.9727096675792,1198.4929423137296,5173.62999512565,1778.628905112195
